path	line_at_audit	symbol	kind	classification	required_scope	acceptance
crates/keycompute-auth/src/api_key/last_used.rs	64	record	job	user-owned resource	validated tenant + user + key ID; telemetry is not authority	source inventory; runtime adoption must pass phase 5/8
crates/keycompute-auth/src/api_key.rs	347	hash_key	cache-key	user-owned resource	validated tenant + user + key ID; telemetry is not authority	source inventory; runtime adoption must pass phase 5/8
crates/keycompute-auth/src/api_key.rs	357	generate_key	cache-key	user-owned resource	validated tenant + user + key ID; telemetry is not authority	source inventory; runtime adoption must pass phase 5/8
crates/keycompute-auth/src/api_key.rs	377	generate_key_with_prefix	cache-key	user-owned resource	validated tenant + user + key ID; telemetry is not authority	source inventory; runtime adoption must pass phase 5/8
crates/keycompute-auth/src/lib.rs	245	verify_api_key	cache-key	platform identity or tenant credential resource	global identity proof or explicit tenant-bound credential; current primary authorization, one-time tokens never cached as authority	source inventory; runtime adoption must pass phase 5/8
crates/keycompute-auth/src/lib.rs	340	verify_api_key_with_context	cache-key	platform identity or tenant credential resource	global identity proof or explicit tenant-bound credential; current primary authorization, one-time tokens never cached as authority	source inventory; runtime adoption must pass phase 5/8
crates/keycompute-billing/src/usage_log.rs	881	produce_ai_key_id	cache-key	user-owned resource	immutable tenant + billing user + request/reservation; settlement independent of membership removal	source inventory; runtime adoption must pass phase 5/8
crates/keycompute-cache/src/lib.rs	30	<module>	cache-key	platform infrastructure / caller-scoped primitive	generic primitive is not authorization; caller key and immutable work scope are classified at call site	source inventory; runtime adoption must pass phase 5/8
crates/keycompute-cache/src/lib.rs	87	<module>	cache-key	platform infrastructure / caller-scoped primitive	generic primitive is not authorization; caller key and immutable work scope are classified at call site	source inventory; runtime adoption must pass phase 5/8
crates/keycompute-cache/src/lib.rs	96	fmt	cache-key	platform infrastructure / caller-scoped primitive	generic primitive is not authorization; caller key and immutable work scope are classified at call site	source inventory; runtime adoption must pass phase 5/8
crates/keycompute-cache/src/lib.rs	154	new	cache-key	platform infrastructure / caller-scoped primitive	generic primitive is not authorization; caller key and immutable work scope are classified at call site	source inventory; runtime adoption must pass phase 5/8
crates/keycompute-cache/src/lib.rs	167	with_pool	cache-key	platform infrastructure / caller-scoped primitive	generic primitive is not authorization; caller key and immutable work scope are classified at call site	source inventory; runtime adoption must pass phase 5/8
